City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Dakar,SN,14.6937,-17.4441,88.68,82,95,9.31,overcast clouds
295,Verkhnyaya Khava,RU,51.8404,39.9413,69.87,56,1,5.86,clear sky
296,Kerema,PG,-7.9631,145.7785,77.9,90,62,4.29,broken clouds
297,Flinders,AU,-34.5833,150.8552,52.05,85,49,1.01,scattered clouds
298,Saint-Joseph,RE,-21.3667,55.6167,68.38,67,33,14.92,scattered clouds
299,Jiaozuo,CN,35.2397,113.2331,80.29,72,13,2.46,few clouds
300,Salalah,OM,17.0151,54.0924,82.49,83,75,5.75,broken clouds
301,Acapulco,MX,16.8634,-99.8901,85.82,74,40,3.44,scattered clouds
302,Grants,US,35.1473,-107.8514,84.43,23,1,10.36,clear sky
303,Taganak,PH,6.0833,118.3,77.14,75,74,7.63,broken clouds
304,Byron Bay,AU,-28.65,153.6167,56.71,76,99,8.43,overcast clouds
305,Kupang,ID,-10.1667,123.5833,73.8,80,49,9.15,scattered clouds
306,Soyo,AO,-6.1349,12.3689,73.42,81,97,7.81,overcast clouds
307,Ishigaki,JP,24.3448,124.1572,83.62,79,97,10.45,overcast clouds
308,Dickinson,US,29.4608,-95.0513,94.19,65,40,1.01,scattered clouds
309,Vyazemskiy,RU,47.5378,134.7525,73.42,78,80,4.92,broken clouds
310,Samarai,PG,-10.6167,150.6667,78.98,86,38,15.55,scattered clouds
311,Almaznyy,RU,48.0448,40.045,75.34,47,0,7.9,clear sky
312,Khorixas,NA,-20.3667,14.9667,61.18,17,0,4.59,clear sky
313,Pisco,PE,-13.7,-76.2167,68.05,73,20,6.91,haze
314,Severodvinsk,RU,64.5635,39.8302,69.91,82,94,3.56,overcast clouds
315,Malinyi,TZ,-8.9333,36.1333,75.94,56,63,3.15,broken clouds
316,Nyagan,RU,62.1406,65.3936,44.71,68,59,3.22,broken clouds
317,Puerto Leguizamo,CO,-0.1934,-74.7819,75.85,89,99,0.83,overcast clouds
318,Peniche,PT,39.3558,-9.3811,74.75,78,0,21.74,clear sky
319,Porto Santo,PT,33.072,-16.3415,71.51,68,75,12.66,broken clouds
320,Dunedin,NZ,-45.8742,170.5036,38.8,80,85,1.01,overcast clouds
321,Vostok,RU,46.4856,135.8833,65.55,91,45,4.14,scattered clouds
322,Arlit,NE,18.7369,7.3853,101.59,15,12,4.12,few clouds
323,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,93.49,18,0,4.81,clear sky
324,Nuuk,GL,64.1835,-51.7216,48.81,57,90,9.22,overcast clouds
325,Mercedes,AR,-34.6515,-59.4307,63.18,51,81,12.06,broken clouds
326,San Nicolas,PH,18.1725,120.5953,80.33,81,96,4.38,overcast clouds
327,Caucaia,BR,-3.7361,-38.6531,85.95,69,40,16.11,scattered clouds
328,Wladyslawowo,PL,54.7909,18.4009,76.55,77,23,5.88,few clouds
329,Langsa,ID,4.4683,97.9683,73.94,95,100,6.64,light rain
